,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,28,5778.0,5878.0,5828.0,0,3559806584142.9497,3390000.0,82394554655.05983,0,0,0
1,28,5778.0,5878.0,5828.0,0,3769077378377.3843,3390000.0,84781839756.36554,0,0,0
2,28,5778.0,5878.0,5828.0,0,3984324961990.167,3390000.0,87169124857.67126,0,0,0
3,28,5778.0,5878.0,5828.0,0,4205549334981.2964,3390000.0,89556409958.97699,0,0,0
4,28,5778.0,5878.0,5828.0,0,4432750497350.771,3390000.0,91943695060.2827,0,0,0
5,28,5778.0,5878.0,5828.0,0,4665928449098.594,3390000.0,94330980161.58841,0,0,0
6,28,5778.0,5878.0,5828.0,0,4905083190224.766,3390000.0,96718265262.89413,0,0,0
7,28,5778.0,5878.0,5828.0,0,5150214720729.283,3390000.0,99105550364.19986,0,0,0
8,28,5778.0,5878.0,5828.0,0,5401323040612.145,3390000.0,101492835465.50557,0,0,0
9,28,5778.0,5878.0,5828.0,0,5658408149873.355,3390000.0,103880120566.81128,0,0,0
10,28,5778.0,5878.0,5828.0,0,5921470048512.915,3390000.0,106267405668.117,0,0,0
11,28,5778.0,5878.0,5828.0,0,6190508736530.82,3390000.0,108654690769.42273,0,0,0
12,28,5778.0,5878.0,5828.0,0,6465524213927.073,3390000.0,111041975870.72844,0,0,0
13,28,5778.0,5878.0,5828.0,0,6746516480701.67,3390000.0,113429260972.03415,0,0,0
14,28,5778.0,5878.0,5828.0,0,7033485536854.618,3390000.0,115816546073.33987,0,0,0
15,28,5778.0,5878.0,5828.0,0,7326431382385.911,3390000.0,118203831174.6456,0,0,0
16,28,5778.0,5878.0,5828.0,0,7625354017295.552,3390000.0,120591116275.95131,0,0,0
17,28,5778.0,5878.0,5828.0,0,7930253441583.538,3390000.0,122978401377.25702,0,0,0
18,28,5778.0,5878.0,5828.0,0,8241129655249.873,3390000.0,125365686478.56274,0,0,0
19,28,5778.0,5878.0,5828.0,0,8557982658294.555,3390000.0,127752971579.86847,0,0,0
20,28,5778.0,5878.0,5828.0,0,8880812450717.582,3390000.0,130140256681.17418,0,0,0
21,28,5778.0,5878.0,5828.0,0,9209619032518.957,3390000.0,132527541782.47989,0,0,0
22,28,5778.0,5878.0,5828.0,0,9544402403698.682,3390000.0,134914826883.78561,0,0,0
23,28,5778.0,5878.0,5828.0,0,9885162564256.752,3390000.0,137302111985.09134,0,0,0
24,28,5778.0,5878.0,5828.0,0,10231899514193.164,3390000.0,139689397086.39703,0,0,0
25,28,5778.0,5878.0,5828.0,0,10584613253507.932,3390000.0,142076682187.70276,0,0,0
26,28,5778.0,5878.0,5828.0,0,10943303782201.041,3390000.0,144463967289.00848,0,0,0
27,28,5778.0,5878.0,5828.0,0,11307971100272.498,3390000.0,146851252390.3142,0,0,0
28,28,5778.0,5878.0,5828.0,0,11678615207722.309,3390000.0,149238537491.61993,0,0,0
29,28,5778.0,5878.0,5828.0,0,12055236104550.46,3390000.0,151625822592.92566,0,0,0
30,28,5778.0,5878.0,5828.0,0,12437833790756.955,3390000.0,154013107694.23135,0,0,0
31,28,5778.0,5878.0,5828.0,0,12826408266341.799,3390000.0,156400392795.53705,0,0,0
32,28,5778.0,5878.0,5828.0,0,13220959531304.992,3390000.0,158787677896.84277,0,0,0
33,28,5778.0,5878.0,5828.0,0,13621487585646.531,3390000.0,161174962998.1485,0,0,0
34,28,5778.0,5878.0,5828.0,0,14027992429366.422,3390000.0,163562248099.45422,0,0,0
35,28,5778.0,5878.0,5828.0,0,14440474062464.654,3390000.0,165949533200.75995,0,0,0
36,28,5778.0,5878.0,5828.0,0,14858932484941.24,3390000.0,168336818302.06567,0,0,0
37,28,5778.0,5878.0,5828.0,0,15283367696796.168,3390000.0,170724103403.3714,0,0,0
38,28,5778.0,5878.0,5828.0,0,15713779698029.436,3390000.0,173111388504.6771,0,0,0
39,28,5778.0,5878.0,5828.0,0,16150168488641.055,3390000.0,175498673605.9828,0,0,0
40,28,5778.0,5878.0,5828.0,0,16592534068631.025,3390000.0,177885958707.2885,0,0,0
41,28,5778.0,5878.0,5828.0,0,17040876437999.344,3390000.0,180273243808.59424,0,0,0
42,28,5778.0,5878.0,5828.0,0,17495195596746.01,3390000.0,182660528909.89996,0,0,0
43,28,5778.0,5878.0,5828.0,0,17955491544871.02,3390000.0,185047814011.2057,0,0,0
44,28,5778.0,5878.0,5828.0,0,18421764282374.38,3390000.0,187435099112.5114,0,0,0
45,28,5778.0,5878.0,5828.0,0,18894013809256.086,3390000.0,189822384213.81714,0,0,0
46,28,5778.0,5878.0,5828.0,0,19372240125516.133,3390000.0,192209669315.12283,0,0,0
47,28,5778.0,5878.0,5828.0,0,19856443231154.53,3390000.0,194596954416.42853,0,0,0
48,28,5778.0,5878.0,5828.0,0,20346623126171.277,3390000.0,196984239517.73425,0,0,0
49,28,5778.0,5878.0,5828.0,0,20842779810566.363,3390000.0,199371524619.03998,0,0,0
50,28,5778.0,5878.0,5828.0,0,3559806584142.9497,3554836.7346938774,82394554655.05983,0,0,0
51,28,5778.0,5878.0,5828.0,0,3769077378377.3843,3554836.7346938774,84781839756.36554,0,0,0
52,28,5778.0,5878.0,5828.0,0,3984324961990.167,3554836.7346938774,87169124857.67126,0,0,0
53,28,5778.0,5878.0,5828.0,0,4205549334981.2964,3554836.7346938774,89556409958.97699,0,0,0
54,28,5778.0,5878.0,5828.0,0,4432750497350.771,3554836.7346938774,91943695060.2827,0,0,0
55,28,5778.0,5878.0,5828.0,0,4665928449098.594,3554836.7346938774,94330980161.58841,0,0,0
56,28,5778.0,5878.0,5828.0,0,4905083190224.766,3554836.7346938774,96718265262.89413,0,0,0
57,28,5778.0,5878.0,5828.0,0,5150214720729.283,3554836.7346938774,99105550364.19986,0,0,0
58,28,5778.0,5878.0,5828.0,0,5401323040612.145,3554836.7346938774,101492835465.50557,0,0,0
59,28,5778.0,5878.0,5828.0,0,5658408149873.355,3554836.7346938774,103880120566.81128,0,0,0
60,28,5778.0,5878.0,5828.0,0,5921470048512.915,3554836.7346938774,106267405668.117,0,0,0
