,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,43,7278.0,7378.0,7328.0,0,13913715787798.264,3390000.0,180864481990.81982,0,0,0
1,43,7278.0,7378.0,7328.0,0,14731664754085.357,3390000.0,186104827392.62024,0,0,0
2,43,7278.0,7378.0,7328.0,0,15572974448339.547,3390000.0,191345172794.42065,0,0,0
3,43,7278.0,7378.0,7328.0,0,16437644870560.836,3390000.0,196585518196.22107,0,0,0
4,43,7278.0,7378.0,7328.0,0,17325676020749.219,3390000.0,201825863598.02148,0,0,0
5,43,7278.0,7378.0,7328.0,0,18237067898904.695,3390000.0,207066208999.8219,0,0,0
6,43,7278.0,7378.0,7328.0,0,19171820505027.277,3390000.0,212306554401.6223,0,0,0
7,43,7278.0,7378.0,7328.0,0,20129933839116.945,3390000.0,217546899803.4227,0,0,0
8,43,7278.0,7378.0,7328.0,0,21111407901173.72,3390000.0,222787245205.2231,0,0,0
9,43,7278.0,7378.0,7328.0,0,22116242691197.586,3390000.0,228027590607.02353,0,0,0
10,43,7278.0,7378.0,7328.0,0,23144438209188.547,3390000.0,233267936008.82394,0,0,0
11,43,7278.0,7378.0,7328.0,0,24195994455146.61,3390000.0,238508281410.62436,0,0,0
12,43,7278.0,7378.0,7328.0,0,25270911429071.77,3390000.0,243748626812.42477,0,0,0
13,43,7278.0,7378.0,7328.0,0,26369189130964.027,3390000.0,248988972214.2252,0,0,0
14,43,7278.0,7378.0,7328.0,0,27490827560823.367,3390000.0,254229317616.02557,0,0,0
15,43,7278.0,7378.0,7328.0,0,28635826718649.816,3390000.0,259469663017.826,0,0,0
16,43,7278.0,7378.0,7328.0,0,29804186604443.36,3390000.0,264710008419.6264,0,0,0
17,43,7278.0,7378.0,7328.0,0,30995907218204.004,3390000.0,269950353821.42682,0,0,0
18,43,7278.0,7378.0,7328.0,0,32210988559931.746,3390000.0,275190699223.22723,0,0,0
19,43,7278.0,7378.0,7328.0,0,33449430629626.58,3390000.0,280431044625.02765,0,0,0
20,43,7278.0,7378.0,7328.0,0,34711233427288.52,3390000.0,285671390026.82806,0,0,0
