,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,12,4178.0,4278.0,4228.0,0,4730262.8722705385,3390000,25397353605,0,0,0
1,12,4178.0,4278.0,4228.0,0,5002700.661501543,3390000,26118491264,0,0,0
2,12,4178.0,4278.0,4228.0,0,5282765.818350818,3390000,26839628923,0,0,0
3,12,4178.0,4278.0,4228.0,0,5570458.343284406,3390000,27560766582,0,0,0
4,12,4178.0,4278.0,4228.0,0,5865778.235989498,3390000,28281904241,0,0,0
5,12,4178.0,4278.0,4228.0,0,6168725.496629898,3390000,29003041900,0,0,0
6,12,4178.0,4278.0,4228.0,0,6479300.12521196,3390000,29724179559,0,0,0
7,12,4178.0,4278.0,4228.0,0,6797502.121563406,3390000,30445317218,0,0,0
8,12,4178.0,4278.0,4228.0,0,7123331.485677895,3390000,31166454877,0,0,0
9,12,4178.0,4278.0,4228.0,0,7456788.217736158,3390000,31887592536,0,0,0
10,12,4178.0,4278.0,4228.0,0,7797872.317361925,3390000,32608730195,0,0,0
11,12,4178.0,4278.0,4228.0,0,8146583.785122771,3390000,33329867854,0,0,0
12,12,4178.0,4278.0,4228.0,0,8502922.620638195,3390000,34051005513,0,0,0
13,12,4178.0,4278.0,4228.0,0,8866888.824105859,3390000,34772143172,0,0,0
14,12,4178.0,4278.0,4228.0,0,9238482.3955321,3390000,35493280831,0,0,0
15,12,4178.0,4278.0,4228.0,0,9617703.334710807,3390000,36214418490,0,0,0
16,12,4178.0,4278.0,4228.0,0,10004551.64163563,3390000,36935556149,0,0,0
17,12,4178.0,4278.0,4228.0,0,10399027.316521151,3390000,37656693808,0,0,0
18,12,4178.0,4278.0,4228.0,0,10801130.358923407,3390000,38377831467,0,0,0
19,12,4178.0,4278.0,4228.0,0,11210860.769511513,3390000,39098969126,0,0,0
20,12,4178.0,4278.0,4228.0,0,11628218.547837276,3390000,39820106785,0,0,0
21,12,4178.0,4278.0,4228.0,0,12053203.694132194,3390000,40541244444,0,0,0
22,12,4178.0,4278.0,4228.0,0,12485816.208402617,3390000,41262382103,0,0,0
23,12,4178.0,4278.0,4228.0,0,12926056.090408584,3390000,41983519762,0,0,0
24,12,4178.0,4278.0,4228.0,0,13373923.340143744,3390000,42704657421,0,0,0
25,12,4178.0,4278.0,4228.0,0,13829417.957856525,3390000,43425795080,0,0,0
26,12,4178.0,4278.0,4228.0,0,14292539.943035271,3390000,44146932739,0,0,0
27,12,4178.0,4278.0,4228.0,0,14763289.296450632,3390000,44868070398,0,0,0
28,12,4178.0,4278.0,4228.0,0,15241666.017586732,3390000,45589208057,0,0,0
29,12,4178.0,4278.0,4228.0,0,15727670.106708912,3390000,46310345716,0,0,0
30,12,4178.0,4278.0,4228.0,0,16221301.563823516,3390000,47031483375,0,0,0
31,12,4178.0,4278.0,4228.0,0,16722560.388656737,3390000,47752621034,0,0,0
32,12,4178.0,4278.0,4228.0,0,17231446.581202235,3390000,48473758693,0,0,0
33,12,4178.0,4278.0,4228.0,0,17747960.141742274,3390000,49194896352,0,0,0
34,12,4178.0,4278.0,4228.0,0,18272101.06969751,3390000,49916034011,0,0,0
35,12,4178.0,4278.0,4228.0,0,18803869.36594013,3390000,50637171670,0,0,0
36,12,4178.0,4278.0,4228.0,0,19343265.029886562,3390000,51358309329,0,0,0
37,12,4178.0,4278.0,4228.0,0,19890288.061836,3390000,52079446988,0,0,0
38,12,4178.0,4278.0,4228.0,0,20444938.461794786,3390000,52800584647,0,0,0
39,12,4178.0,4278.0,4228.0,0,21007216.22945527,3390000,53521722306,0,0,0
40,12,4178.0,4278.0,4228.0,0,21577121.364811104,3390000,54242859965,0,0,0
41,12,4178.0,4278.0,4228.0,0,22154653.868178405,3390000,54963997624,0,0,0
42,12,4178.0,4278.0,4228.0,0,22739813.738910124,3390000,55685135283,0,0,0
43,12,4178.0,4278.0,4228.0,0,23332600.977980006,3390000,56406272942,0,0,0
44,12,4178.0,4278.0,4228.0,0,23933015.58473678,3390000,57127410601,0,0,0
45,12,4178.0,4278.0,4228.0,0,24541057.559513472,3390000,57848548260,0,0,0
46,12,4178.0,4278.0,4228.0,0,25156726.902316444,3390000,58569685919,0,0,0
47,12,4178.0,4278.0,4228.0,0,25780023.612804182,3390000,59290823578,0,0,0
48,12,4178.0,4278.0,4228.0,0,26410947.690970354,3390000,60011961237,0,0,0
