,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,8,3778.0,3878.0,3828.0,0,243586573903.76904,3390000.0,17137143167.37984,0,0,0
1,8,3778.0,3878.0,3828.0,0,257906219430.55447,3390000.0,17633667970.88311,0,0,0
2,8,3778.0,3878.0,3828.0,0,272634832073.64627,3390000.0,18130192774.38638,0,0,0
3,8,3778.0,3878.0,3828.0,0,287772411833.04443,3390000.0,18626717577.88965,0,0,0
4,8,3778.0,3878.0,3828.0,0,303318958708.7487,3390000.0,19123242381.392914,0,0,0
5,8,3778.0,3878.0,3828.0,0,319274472700.75946,3390000.0,19619767184.896183,0,0,0
6,8,3778.0,3878.0,3828.0,0,335638953809.0766,3390000.0,20116291988.399452,0,0,0
7,8,3778.0,3878.0,3828.0,0,352412402033.7,3390000.0,20612816791.90272,0,0,0
8,8,3778.0,3878.0,3828.0,0,369594817374.6298,3390000.0,21109341595.40599,0,0,0
9,8,3778.0,3878.0,3828.0,0,387186199831.8659,3390000.0,21605866398.90926,0,0,0
10,8,3778.0,3878.0,3828.0,0,405186549405.4082,3390000.0,22102391202.41253,0,0,0
11,8,3778.0,3878.0,3828.0,0,423595866095.2569,3390000.0,22598916005.915794,0,0,0
12,8,3778.0,3878.0,3828.0,0,442414149901.412,3390000.0,23095440809.419067,0,0,0
13,8,3778.0,3878.0,3828.0,0,461641400823.87317,3390000.0,23591965612.922333,0,0,0
14,8,3778.0,3878.0,3828.0,0,481277618862.6409,3390000.0,24088490416.425602,0,0,0
15,8,3778.0,3878.0,3828.0,0,501322804017.71497,3390000.0,24585015219.92887,0,0,0
16,8,3778.0,3878.0,3828.0,0,521776956289.0953,3390000.0,25081540023.43214,0,0,0
17,8,3778.0,3878.0,3828.0,0,542640075676.782,3390000.0,25578064826.93541,0,0,0
18,8,3778.0,3878.0,3828.0,0,563912162180.7749,3390000.0,26074589630.43868,0,0,0
19,8,3778.0,3878.0,3828.0,0,585593215801.0742,3390000.0,26571114433.941948,0,0,0
20,8,3778.0,3878.0,3828.0,0,607683236537.6798,3390000.0,27067639237.445213,0,0,0
21,8,3778.0,3878.0,3828.0,0,630182224390.5919,3390000.0,27564164040.948486,0,0,0
22,8,3778.0,3878.0,3828.0,0,653090179359.8099,3390000.0,28060688844.45175,0,0,0
23,8,3778.0,3878.0,3828.0,0,676407101445.3345,3390000.0,28557213647.95502,0,0,0
24,8,3778.0,3878.0,3828.0,0,700132990647.1655,3390000.0,29053738451.45829,0,0,0
25,8,3778.0,3878.0,3828.0,0,724267846965.3029,3390000.0,29550263254.96156,0,0,0
26,8,3778.0,3878.0,3828.0,0,748811670399.7463,3390000.0,30046788058.46483,0,0,0
27,8,3778.0,3878.0,3828.0,0,773764460950.4961,3390000.0,30543312861.968094,0,0,0
28,8,3778.0,3878.0,3828.0,0,799126218617.5525,3390000.0,31039837665.471367,0,0,0
29,8,3778.0,3878.0,3828.0,0,824896943400.915,3390000.0,31536362468.974632,0,0,0
30,8,3778.0,3878.0,3828.0,0,851076635300.5837,3390000.0,32032887272.4779,0,0,0
31,8,3778.0,3878.0,3828.0,0,877665294316.5591,3390000.0,32529412075.98117,0,0,0
32,8,3778.0,3878.0,3828.0,0,904662920448.8405,3390000.0,33025936879.48444,0,0,0
33,8,3778.0,3878.0,3828.0,0,932069513697.4283,3390000.0,33522461682.98771,0,0,0
34,8,3778.0,3878.0,3828.0,0,959885074062.3225,3390000.0,34018986486.49098,0,0,0
35,8,3778.0,3878.0,3828.0,0,988109601543.5231,3390000.0,34515511289.99425,0,0,0
36,8,3778.0,3878.0,3828.0,0,1016743096141.0297,3390000.0,35012036093.49751,0,0,0
37,8,3778.0,3878.0,3828.0,0,1045785557854.8425,3390000.0,35508560897.00078,0,0,0
38,8,3778.0,3878.0,3828.0,0,1075236986684.9624,3390000.0,36005085700.50405,0,0,0
39,8,3778.0,3878.0,3828.0,0,1105097382631.3884,3390000.0,36501610504.007324,0,0,0
40,8,3778.0,3878.0,3828.0,0,1135366745694.1204,3390000.0,36998135307.51059,0,0,0
41,8,3778.0,3878.0,3828.0,0,1166045075873.1584,3390000.0,37494660111.013855,0,0,0
42,8,3778.0,3878.0,3828.0,0,1197132373168.5037,3390000.0,37991184914.51713,0,0,0
43,8,3778.0,3878.0,3828.0,0,1228628637580.1548,3390000.0,38487709718.0204,0,0,0
44,8,3778.0,3878.0,3828.0,0,1260533869108.112,3390000.0,38984234521.52367,0,0,0
45,8,3778.0,3878.0,3828.0,0,1292848067752.3755,3390000.0,39480759325.02693,0,0,0
46,8,3778.0,3878.0,3828.0,0,1325571233512.9453,3390000.0,39977284128.5302,0,0,0
47,8,3778.0,3878.0,3828.0,0,1358703366389.822,3390000.0,40473808932.03347,0,0,0
48,8,3778.0,3878.0,3828.0,0,1392244466383.005,3390000.0,40970333735.53674,0,0,0
49,8,3778.0,3878.0,3828.0,0,1426194533492.4937,3390000.0,41466858539.04001,0,0,0
50,8,3778.0,3878.0,3828.0,0,243586573903.76904,3554836.7346938774,17137143167.37984,0,0,0
51,8,3778.0,3878.0,3828.0,0,257906219430.55447,3554836.7346938774,17633667970.88311,0,0,0
52,8,3778.0,3878.0,3828.0,0,272634832073.64627,3554836.7346938774,18130192774.38638,0,0,0
53,8,3778.0,3878.0,3828.0,0,287772411833.04443,3554836.7346938774,18626717577.88965,0,0,0
54,8,3778.0,3878.0,3828.0,0,303318958708.7487,3554836.7346938774,19123242381.392914,0,0,0
55,8,3778.0,3878.0,3828.0,0,319274472700.75946,3554836.7346938774,19619767184.896183,0,0,0
56,8,3778.0,3878.0,3828.0,0,335638953809.0766,3554836.7346938774,20116291988.399452,0,0,0
57,8,3778.0,3878.0,3828.0,0,352412402033.7,3554836.7346938774,20612816791.90272,0,0,0
58,8,3778.0,3878.0,3828.0,0,369594817374.6298,3554836.7346938774,21109341595.40599,0,0,0
59,8,3778.0,3878.0,3828.0,0,387186199831.8659,3554836.7346938774,21605866398.90926,0,0,0
60,8,3778.0,3878.0,3828.0,0,405186549405.4082,3554836.7346938774,22102391202.41253,0,0,0
61,8,3778.0,3878.0,3828.0,0,423595866095.2569,3554836.7346938774,22598916005.915794,0,0,0
62,8,3778.0,3878.0,3828.0,0,442414149901.412,3554836.7346938774,23095440809.419067,0,0,0
63,8,3778.0,3878.0,3828.0,0,461641400823.87317,3554836.7346938774,23591965612.922333,0,0,0
64,8,3778.0,3878.0,3828.0,0,481277618862.6409,3554836.7346938774,24088490416.425602,0,0,0
65,8,3778.0,3878.0,3828.0,0,501322804017.71497,3554836.7346938774,24585015219.92887,0,0,0
66,8,3778.0,3878.0,3828.0,0,521776956289.0953,3554836.7346938774,25081540023.43214,0,0,0
67,8,3778.0,3878.0,3828.0,0,542640075676.782,3554836.7346938774,25578064826.93541,0,0,0
68,8,3778.0,3878.0,3828.0,0,563912162180.7749,3554836.7346938774,26074589630.43868,0,0,0
69,8,3778.0,3878.0,3828.0,0,585593215801.0742,3554836.7346938774,26571114433.941948,0,0,0
70,8,3778.0,3878.0,3828.0,0,607683236537.6798,3554836.7346938774,27067639237.445213,0,0,0
71,8,3778.0,3878.0,3828.0,0,630182224390.5919,3554836.7346938774,27564164040.948486,0,0,0
72,8,3778.0,3878.0,3828.0,0,653090179359.8099,3554836.7346938774,28060688844.45175,0,0,0
73,8,3778.0,3878.0,3828.0,0,676407101445.3345,3554836.7346938774,28557213647.95502,0,0,0
74,8,3778.0,3878.0,3828.0,0,700132990647.1655,3554836.7346938774,29053738451.45829,0,0,0
75,8,3778.0,3878.0,3828.0,0,724267846965.3029,3554836.7346938774,29550263254.96156,0,0,0
76,8,3778.0,3878.0,3828.0,0,748811670399.7463,3554836.7346938774,30046788058.46483,0,0,0
77,8,3778.0,3878.0,3828.0,0,773764460950.4961,3554836.7346938774,30543312861.968094,0,0,0
78,8,3778.0,3878.0,3828.0,0,799126218617.5525,3554836.7346938774,31039837665.471367,0,0,0
79,8,3778.0,3878.0,3828.0,0,824896943400.915,3554836.7346938774,31536362468.974632,0,0,0
80,8,3778.0,3878.0,3828.0,0,851076635300.5837,3554836.7346938774,32032887272.4779,0,0,0
81,8,3778.0,3878.0,3828.0,0,877665294316.5591,3554836.7346938774,32529412075.98117,0,0,0
82,8,3778.0,3878.0,3828.0,0,904662920448.8405,3554836.7346938774,33025936879.48444,0,0,0
83,8,3778.0,3878.0,3828.0,0,932069513697.4283,3554836.7346938774,33522461682.98771,0,0,0
84,8,3778.0,3878.0,3828.0,0,959885074062.3225,3554836.7346938774,34018986486.49098,0,0,0
85,8,3778.0,3878.0,3828.0,0,988109601543.5231,3554836.7346938774,34515511289.99425,0,0,0
86,8,3778.0,3878.0,3828.0,0,1016743096141.0297,3554836.7346938774,35012036093.49751,0,0,0
87,8,3778.0,3878.0,3828.0,0,1045785557854.8425,3554836.7346938774,35508560897.00078,0,0,0
88,8,3778.0,3878.0,3828.0,0,1075236986684.9624,3554836.7346938774,36005085700.50405,0,0,0
89,8,3778.0,3878.0,3828.0,0,1105097382631.3884,3554836.7346938774,36501610504.007324,0,0,0
90,8,3778.0,3878.0,3828.0,0,1135366745694.1204,3554836.7346938774,36998135307.51059,0,0,0
91,8,3778.0,3878.0,3828.0,0,1166045075873.1584,3554836.7346938774,37494660111.013855,0,0,0
92,8,3778.0,3878.0,3828.0,0,1197132373168.5037,3554836.7346938774,37991184914.51713,0,0,0
93,8,3778.0,3878.0,3828.0,0,1228628637580.1548,3554836.7346938774,38487709718.0204,0,0,0
94,8,3778.0,3878.0,3828.0,0,1260533869108.112,3554836.7346938774,38984234521.52367,0,0,0
95,8,3778.0,3878.0,3828.0,0,1292848067752.3755,3554836.7346938774,39480759325.02693,0,0,0
96,8,3778.0,3878.0,3828.0,0,1325571233512.9453,3554836.7346938774,39977284128.5302,0,0,0
97,8,3778.0,3878.0,3828.0,0,1358703366389.822,3554836.7346938774,40473808932.03347,0,0,0
98,8,3778.0,3878.0,3828.0,0,1392244466383.005,3554836.7346938774,40970333735.53674,0,0,0
99,8,3778.0,3878.0,3828.0,0,1426194533492.4937,3554836.7346938774,41466858539.04001,0,0,0
100,8,3778.0,3878.0,3828.0,0,243586573903.76904,3719673.4693877553,17137143167.37984,0,0,0
101,8,3778.0,3878.0,3828.0,0,257906219430.55447,3719673.4693877553,17633667970.88311,0,0,0
102,8,3778.0,3878.0,3828.0,0,272634832073.64627,3719673.4693877553,18130192774.38638,0,0,0
103,8,3778.0,3878.0,3828.0,0,287772411833.04443,3719673.4693877553,18626717577.88965,0,0,0
104,8,3778.0,3878.0,3828.0,0,303318958708.7487,3719673.4693877553,19123242381.392914,0,0,0
105,8,3778.0,3878.0,3828.0,0,319274472700.75946,3719673.4693877553,19619767184.896183,0,0,0
106,8,3778.0,3878.0,3828.0,0,335638953809.0766,3719673.4693877553,20116291988.399452,0,0,0
107,8,3778.0,3878.0,3828.0,0,352412402033.7,3719673.4693877553,20612816791.90272,0,0,0
108,8,3778.0,3878.0,3828.0,0,369594817374.6298,3719673.4693877553,21109341595.40599,0,0,0
109,8,3778.0,3878.0,3828.0,0,387186199831.8659,3719673.4693877553,21605866398.90926,0,0,0
110,8,3778.0,3878.0,3828.0,0,405186549405.4082,3719673.4693877553,22102391202.41253,0,0,0
111,8,3778.0,3878.0,3828.0,0,423595866095.2569,3719673.4693877553,22598916005.915794,0,0,0
112,8,3778.0,3878.0,3828.0,0,442414149901.412,3719673.4693877553,23095440809.419067,0,0,0
113,8,3778.0,3878.0,3828.0,0,461641400823.87317,3719673.4693877553,23591965612.922333,0,0,0
114,8,3778.0,3878.0,3828.0,0,481277618862.6409,3719673.4693877553,24088490416.425602,0,0,0
115,8,3778.0,3878.0,3828.0,0,501322804017.71497,3719673.4693877553,24585015219.92887,0,0,0
116,8,3778.0,3878.0,3828.0,0,521776956289.0953,3719673.4693877553,25081540023.43214,0,0,0
117,8,3778.0,3878.0,3828.0,0,542640075676.782,3719673.4693877553,25578064826.93541,0,0,0
118,8,3778.0,3878.0,3828.0,0,563912162180.7749,3719673.4693877553,26074589630.43868,0,0,0
119,8,3778.0,3878.0,3828.0,0,585593215801.0742,3719673.4693877553,26571114433.941948,0,0,0
120,8,3778.0,3878.0,3828.0,0,607683236537.6798,3719673.4693877553,27067639237.445213,0,0,0
121,8,3778.0,3878.0,3828.0,0,630182224390.5919,3719673.4693877553,27564164040.948486,0,0,0
122,8,3778.0,3878.0,3828.0,0,653090179359.8099,3719673.4693877553,28060688844.45175,0,0,0
123,8,3778.0,3878.0,3828.0,0,676407101445.3345,3719673.4693877553,28557213647.95502,0,0,0
124,8,3778.0,3878.0,3828.0,0,700132990647.1655,3719673.4693877553,29053738451.45829,0,0,0
