,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,18,4778.0,4878.0,4828.0,0,11111242.954858037,3390000,41902584631,0,0,0
1,18,4778.0,4878.0,4828.0,0,11751192.616672978,3390000,43092378169,0,0,0
2,18,4778.0,4878.0,4828.0,0,12409058.822162068,3390000,44282171707,0,0,0
3,18,4778.0,4878.0,4828.0,0,13084841.57134337,3390000,45471965245,0,0,0
4,18,4778.0,4878.0,4828.0,0,13778540.863762502,3390000,46661758783,0,0,0
5,18,4778.0,4878.0,4828.0,0,14490156.699401395,3390000,47851552321,0,0,0
6,18,4778.0,4878.0,4828.0,0,15219689.078738531,3390000,49041345859,0,0,0
7,18,4778.0,4878.0,4828.0,0,15967138.001791973,3390000,50231139397,0,0,0
8,18,4778.0,4878.0,4828.0,0,16732503.468059152,3390000,51420932935,0,0,0
9,18,4778.0,4878.0,4828.0,0,17515785.477522,3390000,52610726473,0,0,0
10,18,4778.0,4878.0,4828.0,0,18316984.03070718,3390000,53800520011,0,0,0
11,18,4778.0,4878.0,4828.0,0,19136099.127632767,3390000,54990313549,0,0,0
12,18,4778.0,4878.0,4828.0,0,19973130.76774799,3390000,56180107087,0,0,0
13,18,4778.0,4878.0,4828.0,0,20828078.95103479,3390000,57369900625,0,0,0
14,18,4778.0,4878.0,4828.0,0,21700943.678068012,3390000,58559694163,0,0,0
15,18,4778.0,4878.0,4828.0,0,22591724.94886574,3390000,59749487701,0,0,0
16,18,4778.0,4878.0,4828.0,0,23500422.762829017,3390000,60939281239,0,0,0
17,18,4778.0,4878.0,4828.0,0,24427037.119939767,3390000,62129074777,0,0,0
18,18,4778.0,4878.0,4828.0,0,25371568.020821042,3390000,63318868315,0,0,0
19,18,4778.0,4878.0,4828.0,0,26334015.465490904,3390000,64508661853,0,0,0
20,18,4778.0,4878.0,4828.0,0,27314379.453302223,3390000,65698455391,0,0,0
21,18,4778.0,4878.0,4828.0,0,28312659.984236926,3390000,66888248929,0,0,0
22,18,4778.0,4878.0,4828.0,0,29328857.05896625,3390000,68078042467,0,0,0
23,18,4778.0,4878.0,4828.0,0,30362970.67750825,3390000,69267836005,0,0,0
24,18,4778.0,4878.0,4828.0,0,31415000.839167617,3390000,70457629543,0,0,0
25,18,4778.0,4878.0,4828.0,0,32484947.54392628,3390000,71647423081,0,0,0
26,18,4778.0,4878.0,4828.0,0,33572810.79250364,3390000,72837216619,0,0,0
27,18,4778.0,4878.0,4828.0,0,34678590.584917784,3390000,74027010157,0,0,0
28,18,4778.0,4878.0,4828.0,0,35802286.92042519,3390000,75216803695,0,0,0
29,18,4778.0,4878.0,4828.0,0,36943899.7990078,3390000,76406597233,0,0,0
30,18,4778.0,4878.0,4828.0,0,38103429.221433215,3390000,77596390771,0,0,0
31,18,4778.0,4878.0,4828.0,0,39280875.1877195,3390000,78786184309,0,0,0
32,18,4778.0,4878.0,4828.0,0,40476237.69707496,3390000,79975977847,0,0,0
