,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,45,7478.0,7578.0,7528.0,0,162828986.80253226,3390000,197991497850,0,0,0
1,45,7478.0,7578.0,7528.0,0,172207130.92984888,3390000,203613348702,0,0,0
2,45,7478.0,7578.0,7528.0,0,181847834.27815327,3390000,209235199554,0,0,0
3,45,7478.0,7578.0,7528.0,0,191751096.84470153,3390000,214857050406,0,0,0
4,45,7478.0,7578.0,7528.0,0,201916918.6323123,3390000,220478901258,0,0,0
5,45,7478.0,7578.0,7528.0,0,212345299.63809228,3390000,226100752110,0,0,0
6,45,7478.0,7578.0,7528.0,0,223036239.86500934,3390000,231722602962,0,0,0
7,45,7478.0,7578.0,7528.0,0,233989739.31002107,3390000,237344453814,0,0,0
8,45,7478.0,7578.0,7528.0,0,245205797.9762445,3390000,242966304666,0,0,0
9,45,7478.0,7578.0,7528.0,0,256684415.86048785,3390000,248588155518,0,0,0
10,45,7478.0,7578.0,7528.0,0,268425592.96601772,3390000,254210006370,0,0,0
11,45,7478.0,7578.0,7528.0,0,280429329.28949267,3390000,259831857222,0,0,0
12,45,7478.0,7578.0,7528.0,0,292695624.8343289,3390000,265453708074,0,0,0
13,45,7478.0,7578.0,7528.0,0,305224479.5970355,3390000,271075558926,0,0,0
14,45,7478.0,7578.0,7528.0,0,318015893.58117825,3390000,276697409778,0,0,0
15,45,7478.0,7578.0,7528.0,0,331069866.78311646,3390000,282319260630,0,0,0
16,45,7478.0,7578.0,7528.0,0,344386399.20656556,3390000,287941111482,0,0,0
17,45,7478.0,7578.0,7528.0,0,357965490.8477355,3390000,293562962334,0,0,0
18,45,7478.0,7578.0,7528.0,0,371807141.7104909,3390000,299184813186,0,0,0
19,45,7478.0,7578.0,7528.0,0,385911351.7908925,3390000,304806664038,0,0,0
20,45,7478.0,7578.0,7528.0,0,400278121.0929543,3390000,310428514890,0,0,0
21,45,7478.0,7578.0,7528.0,0,414907449.6125876,3390000,316050365742,0,0,0
22,45,7478.0,7578.0,7528.0,0,429799337.3539558,3390000,321672216594,0,0,0
23,45,7478.0,7578.0,7528.0,0,444953784.3128207,3390000,327294067446,0,0,0
24,45,7478.0,7578.0,7528.0,0,460370790.4934953,3390000,332915918298,0,0,0
25,45,7478.0,7578.0,7528.0,0,476050355.8915918,3390000,338537769150,0,0,0
26,45,7478.0,7578.0,7528.0,0,491992480.51157284,3390000,344159620002,0,0,0
27,45,7478.0,7578.0,7528.0,0,508197164.34890103,3390000,349781470854,0,0,0
28,45,7478.0,7578.0,7528.0,0,524664407.4081884,3390000,355403321706,0,0,0
29,45,7478.0,7578.0,7528.0,0,541394209.6847483,3390000,361025172558,0,0,0
30,45,7478.0,7578.0,7528.0,0,558386571.1833421,3390000,366647023410,0,0,0
31,45,7478.0,7578.0,7528.0,0,575641491.8991336,3390000,372268874262,0,0,0
32,45,7478.0,7578.0,7528.0,0,593158971.8370339,3390000,377890725114,0,0,0
33,45,7478.0,7578.0,7528.0,0,610939010.992057,3390000,383512575966,0,0,0
34,45,7478.0,7578.0,7528.0,0,628981609.3692635,3390000,389134426818,0,0,0
35,45,7478.0,7578.0,7528.0,0,647286766.9635184,3390000,394756277670,0,0,0
36,45,7478.0,7578.0,7528.0,0,665854483.7800312,3390000,400378128522,0,0,0
37,45,7478.0,7578.0,7528.0,0,684684759.8135178,3390000,405999979374,0,0,0
38,45,7478.0,7578.0,7528.0,0,703777595.0693371,3390000,411621830226,0,0,0
39,45,7478.0,7578.0,7528.0,0,723132989.5420552,3390000,417243681078,0,0,0
40,45,7478.0,7578.0,7528.0,0,742750943.237181,3390000,422865531930,0,0,0
41,45,7478.0,7578.0,7528.0,0,762631456.1491308,3390000,428487382782,0,0,0
42,45,7478.0,7578.0,7528.0,0,782774528.2835628,3390000,434109233634,0,0,0
43,45,7478.0,7578.0,7528.0,0,803180159.6347444,3390000,439731084486,0,0,0
44,45,7478.0,7578.0,7528.0,0,823848350.2084829,3390000,445352935338,0,0,0
45,45,7478.0,7578.0,7528.0,0,844779099.9988958,3390000,450974786190,0,0,0
46,45,7478.0,7578.0,7528.0,0,865972409.0119407,3390000,456596637042,0,0,0
47,45,7478.0,7578.0,7528.0,0,887428277.2415856,3390000,462218487894,0,0,0
48,45,7478.0,7578.0,7528.0,0,909146704.693937,3390000,467840338746,0,0,0
49,45,7478.0,7578.0,7528.0,0,931127691.3628134,3390000,473462189598,0,0,0
50,45,7478.0,7578.0,7528.0,0,953371237.2544711,3390000,479084040450,0,0,0
51,45,7478.0,7578.0,7528.0,0,162828986.80253226,3687140,197991497850,0,0,0
52,45,7478.0,7578.0,7528.0,0,172207130.92984888,3687140,203613348702,0,0,0
53,45,7478.0,7578.0,7528.0,0,181847834.27815327,3687140,209235199554,0,0,0
54,45,7478.0,7578.0,7528.0,0,191751096.84470153,3687140,214857050406,0,0,0
55,45,7478.0,7578.0,7528.0,0,201916918.6323123,3687140,220478901258,0,0,0
56,45,7478.0,7578.0,7528.0,0,212345299.63809228,3687140,226100752110,0,0,0
57,45,7478.0,7578.0,7528.0,0,223036239.86500934,3687140,231722602962,0,0,0
58,45,7478.0,7578.0,7528.0,0,233989739.31002107,3687140,237344453814,0,0,0
59,45,7478.0,7578.0,7528.0,0,245205797.9762445,3687140,242966304666,0,0,0
60,45,7478.0,7578.0,7528.0,0,256684415.86048785,3687140,248588155518,0,0,0
61,45,7478.0,7578.0,7528.0,0,268425592.96601772,3687140,254210006370,0,0,0
62,45,7478.0,7578.0,7528.0,0,280429329.28949267,3687140,259831857222,0,0,0
63,45,7478.0,7578.0,7528.0,0,292695624.8343289,3687140,265453708074,0,0,0
64,45,7478.0,7578.0,7528.0,0,305224479.5970355,3687140,271075558926,0,0,0
65,45,7478.0,7578.0,7528.0,0,318015893.58117825,3687140,276697409778,0,0,0
66,45,7478.0,7578.0,7528.0,0,331069866.78311646,3687140,282319260630,0,0,0
67,45,7478.0,7578.0,7528.0,0,344386399.20656556,3687140,287941111482,0,0,0
68,45,7478.0,7578.0,7528.0,0,357965490.8477355,3687140,293562962334,0,0,0
69,45,7478.0,7578.0,7528.0,0,371807141.7104909,3687140,299184813186,0,0,0
70,45,7478.0,7578.0,7528.0,0,385911351.7908925,3687140,304806664038,0,0,0
71,45,7478.0,7578.0,7528.0,0,400278121.0929543,3687140,310428514890,0,0,0
72,45,7478.0,7578.0,7528.0,0,414907449.6125876,3687140,316050365742,0,0,0
73,45,7478.0,7578.0,7528.0,0,429799337.3539558,3687140,321672216594,0,0,0
74,45,7478.0,7578.0,7528.0,0,444953784.3128207,3687140,327294067446,0,0,0
75,45,7478.0,7578.0,7528.0,0,460370790.4934953,3687140,332915918298,0,0,0
76,45,7478.0,7578.0,7528.0,0,476050355.8915918,3687140,338537769150,0,0,0
77,45,7478.0,7578.0,7528.0,0,491992480.51157284,3687140,344159620002,0,0,0
78,45,7478.0,7578.0,7528.0,0,508197164.34890103,3687140,349781470854,0,0,0
79,45,7478.0,7578.0,7528.0,0,524664407.4081884,3687140,355403321706,0,0,0
80,45,7478.0,7578.0,7528.0,0,541394209.6847483,3687140,361025172558,0,0,0
81,45,7478.0,7578.0,7528.0,0,558386571.1833421,3687140,366647023410,0,0,0
82,45,7478.0,7578.0,7528.0,0,575641491.8991336,3687140,372268874262,0,0,0
83,45,7478.0,7578.0,7528.0,0,593158971.8370339,3687140,377890725114,0,0,0
84,45,7478.0,7578.0,7528.0,0,610939010.992057,3687140,383512575966,0,0,0
85,45,7478.0,7578.0,7528.0,0,628981609.3692635,3687140,389134426818,0,0,0
86,45,7478.0,7578.0,7528.0,0,647286766.9635184,3687140,394756277670,0,0,0
87,45,7478.0,7578.0,7528.0,0,665854483.7800312,3687140,400378128522,0,0,0
