,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,7,3677.0,3778.0,3727.5,0,203066835361.3164,3390000.0,15371961463.579218,0,0,0
1,7,3677.0,3778.0,3727.5,0,215004450064.09546,3390000.0,15817342223.384998,0,0,0
2,7,3677.0,3778.0,3727.5,0,227283001131.4664,3390000.0,16262722983.19078,0,0,0
3,7,3677.0,3778.0,3727.5,0,239902488563.42914,3390000.0,16708103742.996561,0,0,0
4,7,3677.0,3778.0,3727.5,0,252862912359.98386,3390000.0,17153484502.802343,0,0,0
5,7,3677.0,3778.0,3727.5,0,266164272521.13034,3390000.0,17598865262.608124,0,0,0
6,7,3677.0,3778.0,3727.5,0,279806569046.86865,3390000.0,18044246022.413906,0,0,0
7,7,3677.0,3778.0,3727.5,0,293789801937.1988,3390000.0,18489626782.21969,0,0,0
8,7,3677.0,3778.0,3727.5,0,308113971192.1207,3390000.0,18935007542.025467,0,0,0
9,7,3677.0,3778.0,3727.5,0,322779076811.6347,3390000.0,19380388301.83125,0,0,0
10,7,3677.0,3778.0,3727.5,0,337785118795.74054,3390000.0,19825769061.63703,0,0,0
11,7,3677.0,3778.0,3727.5,0,353132097144.438,3390000.0,20271149821.44281,0,0,0
12,7,3677.0,3778.0,3727.5,0,368820011857.7275,3390000.0,20716530581.248592,0,0,0
13,7,3677.0,3778.0,3727.5,0,384848862935.60876,3390000.0,21161911341.054375,0,0,0
14,7,3677.0,3778.0,3727.5,0,401218650378.0819,3390000.0,21607292100.860157,0,0,0
15,7,3677.0,3778.0,3727.5,0,417929374185.14703,3390000.0,22052672860.66594,0,0,0
16,7,3677.0,3778.0,3727.5,0,434981034356.8037,3390000.0,22498053620.471718,0,0,0
17,7,3677.0,3778.0,3727.5,0,452373630893.0525,3390000.0,22943434380.2775,0,0,0
18,7,3677.0,3778.0,3727.5,0,470107163793.89307,3390000.0,23388815140.083282,0,0,0
19,7,3677.0,3778.0,3727.5,0,488181633059.3254,3390000.0,23834195899.88906,0,0,0
20,7,3677.0,3778.0,3727.5,0,506597038689.3497,3390000.0,24279576659.694843,0,0,0
21,7,3677.0,3778.0,3727.5,0,525353380683.9659,3390000.0,24724957419.500626,0,0,0
22,7,3677.0,3778.0,3727.5,0,544450659043.1737,3390000.0,25170338179.306404,0,0,0
23,7,3677.0,3778.0,3727.5,0,563888873766.9738,3390000.0,25615718939.11219,0,0,0
24,7,3677.0,3778.0,3727.5,0,583668024855.3652,3390000.0,26061099698.91797,0,0,0
25,7,3677.0,3778.0,3727.5,0,603788112308.3488,3390000.0,26506480458.72375,0,0,0
26,7,3677.0,3778.0,3727.5,0,624249136125.9242,3390000.0,26951861218.529533,0,0,0
27,7,3677.0,3778.0,3727.5,0,645051096308.0912,3390000.0,27397241978.33531,0,0,0
28,7,3677.0,3778.0,3727.5,0,666193992854.8505,3390000.0,27842622738.141094,0,0,0
29,7,3677.0,3778.0,3727.5,0,687677825766.2013,3390000.0,28288003497.946877,0,0,0
30,7,3677.0,3778.0,3727.5,0,709502595042.1439,3390000.0,28733384257.752655,0,0,0
31,7,3677.0,3778.0,3727.5,0,731668300682.679,3390000.0,29178765017.55844,0,0,0
32,7,3677.0,3778.0,3727.5,0,754174942687.8052,3390000.0,29624145777.36422,0,0,0
33,7,3677.0,3778.0,3727.5,0,777022521057.5233,3390000.0,30069526537.17,0,0,0
34,7,3677.0,3778.0,3727.5,0,800211035791.8336,3390000.0,30514907296.975784,0,0,0
35,7,3677.0,3778.0,3727.5,0,823740486890.7357,3390000.0,30960288056.781563,0,0,0
36,7,3677.0,3778.0,3727.5,0,847610874354.2296,3390000.0,31405668816.587345,0,0,0
37,7,3677.0,3778.0,3727.5,0,871822198182.3156,3390000.0,31851049576.393127,0,0,0
38,7,3677.0,3778.0,3727.5,0,896374458374.9927,3390000.0,32296430336.198906,0,0,0
39,7,3677.0,3778.0,3727.5,0,921267654932.2626,3390000.0,32741811096.004692,0,0,0
40,7,3677.0,3778.0,3727.5,0,946501787854.1239,3390000.0,33187191855.81047,0,0,0
41,7,3677.0,3778.0,3727.5,0,972076857140.5767,3390000.0,33632572615.61625,0,0,0
42,7,3677.0,3778.0,3727.5,0,997992862791.622,3390000.0,34077953375.422035,0,0,0
43,7,3677.0,3778.0,3727.5,0,1024249804807.2588,3390000.0,34523334135.22781,0,0,0
44,7,3677.0,3778.0,3727.5,0,1050847683187.4872,3390000.0,34968714895.03359,0,0,0
45,7,3677.0,3778.0,3727.5,0,1077786497932.308,3390000.0,35414095654.83938,0,0,0
46,7,3677.0,3778.0,3727.5,0,1105066249041.7205,3390000.0,35859476414.64516,0,0,0
47,7,3677.0,3778.0,3727.5,0,1132686936515.7249,3390000.0,36304857174.45094,0,0,0
48,7,3677.0,3778.0,3727.5,0,1160648560354.3208,3390000.0,36750237934.25672,0,0,0
49,7,3677.0,3778.0,3727.5,0,1188951120557.5088,3390000.0,37195618694.0625,0,0,0
50,7,3677.0,3778.0,3727.5,0,203066835361.3164,3554836.7346938774,15371961463.579218,0,0,0
51,7,3677.0,3778.0,3727.5,0,215004450064.09546,3554836.7346938774,15817342223.384998,0,0,0
52,7,3677.0,3778.0,3727.5,0,227283001131.4664,3554836.7346938774,16262722983.19078,0,0,0
53,7,3677.0,3778.0,3727.5,0,239902488563.42914,3554836.7346938774,16708103742.996561,0,0,0
54,7,3677.0,3778.0,3727.5,0,252862912359.98386,3554836.7346938774,17153484502.802343,0,0,0
55,7,3677.0,3778.0,3727.5,0,266164272521.13034,3554836.7346938774,17598865262.608124,0,0,0
56,7,3677.0,3778.0,3727.5,0,279806569046.86865,3554836.7346938774,18044246022.413906,0,0,0
57,7,3677.0,3778.0,3727.5,0,293789801937.1988,3554836.7346938774,18489626782.21969,0,0,0
58,7,3677.0,3778.0,3727.5,0,308113971192.1207,3554836.7346938774,18935007542.025467,0,0,0
59,7,3677.0,3778.0,3727.5,0,322779076811.6347,3554836.7346938774,19380388301.83125,0,0,0
60,7,3677.0,3778.0,3727.5,0,337785118795.74054,3554836.7346938774,19825769061.63703,0,0,0
61,7,3677.0,3778.0,3727.5,0,353132097144.438,3554836.7346938774,20271149821.44281,0,0,0
62,7,3677.0,3778.0,3727.5,0,368820011857.7275,3554836.7346938774,20716530581.248592,0,0,0
63,7,3677.0,3778.0,3727.5,0,384848862935.60876,3554836.7346938774,21161911341.054375,0,0,0
64,7,3677.0,3778.0,3727.5,0,401218650378.0819,3554836.7346938774,21607292100.860157,0,0,0
65,7,3677.0,3778.0,3727.5,0,417929374185.14703,3554836.7346938774,22052672860.66594,0,0,0
66,7,3677.0,3778.0,3727.5,0,434981034356.8037,3554836.7346938774,22498053620.471718,0,0,0
67,7,3677.0,3778.0,3727.5,0,452373630893.0525,3554836.7346938774,22943434380.2775,0,0,0
68,7,3677.0,3778.0,3727.5,0,470107163793.89307,3554836.7346938774,23388815140.083282,0,0,0
69,7,3677.0,3778.0,3727.5,0,488181633059.3254,3554836.7346938774,23834195899.88906,0,0,0
70,7,3677.0,3778.0,3727.5,0,506597038689.3497,3554836.7346938774,24279576659.694843,0,0,0
71,7,3677.0,3778.0,3727.5,0,525353380683.9659,3554836.7346938774,24724957419.500626,0,0,0
72,7,3677.0,3778.0,3727.5,0,544450659043.1737,3554836.7346938774,25170338179.306404,0,0,0
73,7,3677.0,3778.0,3727.5,0,563888873766.9738,3554836.7346938774,25615718939.11219,0,0,0
74,7,3677.0,3778.0,3727.5,0,583668024855.3652,3554836.7346938774,26061099698.91797,0,0,0
75,7,3677.0,3778.0,3727.5,0,603788112308.3488,3554836.7346938774,26506480458.72375,0,0,0
76,7,3677.0,3778.0,3727.5,0,624249136125.9242,3554836.7346938774,26951861218.529533,0,0,0
77,7,3677.0,3778.0,3727.5,0,645051096308.0912,3554836.7346938774,27397241978.33531,0,0,0
78,7,3677.0,3778.0,3727.5,0,666193992854.8505,3554836.7346938774,27842622738.141094,0,0,0
79,7,3677.0,3778.0,3727.5,0,687677825766.2013,3554836.7346938774,28288003497.946877,0,0,0
80,7,3677.0,3778.0,3727.5,0,709502595042.1439,3554836.7346938774,28733384257.752655,0,0,0
81,7,3677.0,3778.0,3727.5,0,731668300682.679,3554836.7346938774,29178765017.55844,0,0,0
82,7,3677.0,3778.0,3727.5,0,754174942687.8052,3554836.7346938774,29624145777.36422,0,0,0
83,7,3677.0,3778.0,3727.5,0,777022521057.5233,3554836.7346938774,30069526537.17,0,0,0
84,7,3677.0,3778.0,3727.5,0,800211035791.8336,3554836.7346938774,30514907296.975784,0,0,0
85,7,3677.0,3778.0,3727.5,0,823740486890.7357,3554836.7346938774,30960288056.781563,0,0,0
86,7,3677.0,3778.0,3727.5,0,847610874354.2296,3554836.7346938774,31405668816.587345,0,0,0
87,7,3677.0,3778.0,3727.5,0,871822198182.3156,3554836.7346938774,31851049576.393127,0,0,0
88,7,3677.0,3778.0,3727.5,0,896374458374.9927,3554836.7346938774,32296430336.198906,0,0,0
89,7,3677.0,3778.0,3727.5,0,921267654932.2626,3554836.7346938774,32741811096.004692,0,0,0
90,7,3677.0,3778.0,3727.5,0,946501787854.1239,3554836.7346938774,33187191855.81047,0,0,0
91,7,3677.0,3778.0,3727.5,0,972076857140.5767,3554836.7346938774,33632572615.61625,0,0,0
92,7,3677.0,3778.0,3727.5,0,997992862791.622,3554836.7346938774,34077953375.422035,0,0,0
