Kepler ID,Teff
1434013,5056
1434116,5563
1434231,5496
1434259,6257
1434277,5927
1434286,6267
1434288,4916
1434326,5114
1434353,4844
1434372,7276
1434395,4883
1434397,6483
1434455,4194
1434522,5883
1434531,3175
1434583,3178
1434589,4310
1434591,3200
1434610,5257
1434660,6892
1434696,6854
1434708,5472
1434792,5624
1434800,6585
1434976,4674
1434988,
1435008,
1435038,5070
1435108,6938
1435143,4985
1435158,6239
1435229,4050
1435260,4624
1435272,6434
1435403,4892
1435448,5891
1435467,6570
1435573,4863
1435632,4971
1435717,4763
1435736,6259
1435818,5885
1435836,6623
1435930,6259
1435987,3943
1436132,5725
1436140,5052
1436265,5677
1569599,5802
1569682,3929
1569743,6120
1569746,6209
1569792,6260
1569822,3202
1569823,
1569842,4921
1569843,5906
1569849,
1569863,3809
1569897,5559
1569909,4922
1569924,5574
1569969,5087
1569974,5677
1569983,5712
1569985,4798
1569986,6410
1569999,6326
1570023,6747
1570026,5669
1570099,5571
1570150,6200
1570172,5910
1570191,5553
1570221,6009
1570253,5957
1570270,5784
1570275,6104
1570311,5011
1570349,5639
1570366,4775
1570400,5809
1570466,5715
1570529,5250
1570552,5933
1570554,6235
1570608,5613
1570617,5251
1570649,4423
1570703,5888
1570711,
1570713,6776
1570915,4055
1570918,6731
1570924,4923
1570929,3854
1570994,6303
1571003,4816
1571088,6056
1571152,7048
1571237,5627
1571298,4839
1571340,4184
1571364,4404
1571511,5804
1571717,8111
1571727,4700
1571732,6507
1571780,4717
1572038,4820
1572049,4847
1572094,4674
1572114,5350
1572156,5729
1572175,4766
1572201,8344
1572220,5404
1572222,5732
1572317,5148
1572352,4692
1572353,4470
1572418,6561
1572433,4540
1572463,5145
1572558,5926
1572685,6435
1572725,5088
1572762,4613
1572768,
1572780,4854
1572802,3990
1572851,6494
1572895,5887
1572910,5902
1572948,6361
1572999,6214
1573013,6254
1573064,4633
1573094,5139
1573138,4664
1573149,6339
1573174,6971
1573398,6377
1573478,4233
1573666,6276
1573742,6497
1573836,6283
1573867,3390
1573872,4842
1573876,6143
1573925,5104
1573954,5864
1573967,5224
1574033,6626
1574272,4859
1574306,9140
1574361,4625
1574376,5531
1574521,4905
1574524,6554
1574550,
1574646,6429
1574753,4730
1574792,6721
1574944,4766
1575133,4377
1575183,4981
1575203,6587
1575206,6706
1575422,6163
1575424,4707
1575570,3271
1575580,6095
1575672,6621
1575690,4140
1575831,4508
1575851,6120
1575855,5045
1575873,6886
1575886,5088
1575888,6492
1575893,4301
1575919,6628
1575977,7086
1576043,3861
1576071,4967
1576108,5996
1576115,8066
1576117,5929
1576141,5096
1576144,8973
1576249,6385
1576312,4794
1576351,4840
1576420,4446
1576469,5097
1576497,5893
1576508,4559
1576558,6818
1576607,4762
1576623,4986
1576646,4914
1576648,5546
1576662,6186
1576704,5728
1576739,5740
1576744,4870
1576756,
1576782,5261
1576789,5163
1576796,6147
1576877,5785
1576970,5451
1577003,
1577013,6190
1577039,
1577073,4728
1577077,6668
1577143,5218
1577144,5374
1577167,3925
1577202,6166
1577215,5604
1577221,5301
1577265,4023
1577315,5192
1577365,4784
1577769,4893
1577819,6409
1577912,8746
1578131,4722
1701525,6024
1701551,5168
1701553,4647
1701554,
1701656,5672
1701672,5575
1701678,5709
1701679,
1701692,4962
1701763,4622
1701801,5671
1717095,10827
1717106,4871
1717128,6035
1717242,5407
